path	sentence
common_voice_de_19120207.mp3	Die Pfarrkirche des Ortes war dem Heiligen Martin gewidmet.
common_voice_de_17943895.mp3	Das Publikum fordert lautstark eine Zugabe.
common_voice_de_19275763.mp3	Daneben veröffentlichte er mehrere Bücher über den Bau und die Konstruktion von Dampflokomotiven.
common_voice_de_23856373.mp3	Es ist die höchste Anzahl von Eukaryoten, die bisher bei den Faultieren beobachtet wurde.
common_voice_de_26252699.mp3	„Dann kann er jetzt vergnügt sein und schnell laufen“, sagte Tante Dahlia lebhaft.
common_voice_de_30393408.mp3	Müller, geboren.
common_voice_de_19756404.mp3	Sie liegt im Osten des Landes, an der Grenze zu Tansania.
common_voice_de_26563312.mp3	Zu seinen weiteren Aufgaben gehört die Abnahme von neu eingekauften oder geleasten Flugzeugen.
common_voice_de_18820064.mp3	Der Standesbeamte war ein komischer Vogel.
common_voice_de_34940069.mp3	Joe meldet sich daraufhin freiwillig zur Armee.
common_voice_de_25372781.mp3	Das kann nicht gehen.
common_voice_de_23820106.mp3	Ähnlich gefärbte Ziegen kommen auch im Piemont und im Hochsavoyen der französischen Alpen vor.
common_voice_de_19746364.mp3	Sie trugen alle sowjetische Hoheitszeichen, als sie per Bahn im Reich eintrafen.
common_voice_de_18205461.mp3	Meine Lieblingsfarbe ist schwarz, sagte Lola.
common_voice_de_27160806.mp3	Nach dem Verlust dieser Funktion beschäftigten sich die Einwohner hauptsächlich mit Landwirtschaft.
common_voice_de_25118541.mp3	Sie wurde nach der Stadt Boise in Idaho benannt.
common_voice_de_28752762.mp3	Er arbeitete anschließend am Brookhaven National Laboratory.
common_voice_de_17929041.mp3	Macht euch nur darüber lustig.
common_voice_de_28402277.mp3	Abschließend möchte ich Ihnen gerne etwas sehr Wichtiges mitteilen.
common_voice_de_37777870.mp3	Inhaltlich gesehen hat die Kommission noch eine Bringschuld.
common_voice_de_27500040.mp3	Dieses Rittergut wird heute für private Wohnzwecke genutzt.
common_voice_de_19155513.mp3	Als staatlicher Feiertag gilt er für staatliche Angestellte und Beamte.
common_voice_de_19125901.mp3	Sowohl Thomas Howard als auch Margaret Douglas wurden im Tower of London gefangen gesetzt.
common_voice_de_19622933.mp3	Sein Sohn war der Politiker Hartwig von Rheden.
common_voice_de_30800849.mp3	Hiernach war er Hofmeister des jungen Herrn von Wilmersdorf.
common_voice_de_17586393.mp3	Die Uhr geht falsch.
common_voice_de_38533469.mp3	Die Rolle der Außenpolitik darf nicht darauf beschränkt sein.
common_voice_de_20526390.mp3	Legislaturperiode des türkischen Parlamentes war er Abgeordneter.
common_voice_de_18218470.mp3	Doch wie sich gerade zeigt, ist das Thema aktueller denn je.
common_voice_de_22155481.mp3	acht
common_voice_de_24599978.mp3	Mit sechs Jahren hatte Judy Weiss ihre ersten Klavierstunden.
common_voice_de_26186805.mp3	Während der Streife hatten Buffy und Angel einen Streit.
common_voice_de_37301279.mp3	Goar zum Patron hat.
common_voice_de_19607883.mp3	Katarina Srebotnik und Nenad Zimonjić waren die Titelverteidiger.
common_voice_de_25325706.mp3	Wir werden fortfahren, die Einführung zu beobachten.
common_voice_de_29052109.mp3	Polnische Armee sich westlich der Weichsel Brückenköpfe erkämpften.
common_voice_de_20517127.mp3	Sie sind heute noch in Kraft.
common_voice_de_27030292.mp3	Der Tunnel ist der längste dieser Eisenbahnstrecke und bildet mit den zweithöchsten Punkt.
common_voice_de_27154012.mp3	Später übernahm die Stadt Heilbronn dies als offiziellen Namen.
common_voice_de_18280125.mp3	Der Datenschutz ist gewährleistet.
common_voice_de_23669020.mp3	Die Frühjahrstagung des Rates hat das unter Beweis gestellt.
common_voice_de_19121902.mp3	Aus dieser Ehe stammt die Schauspielerin und Sängerin Laura Schneiderhan.
common_voice_de_19612448.mp3	Laut Clamp dienen diese beiden Manga dazu, das gesamte Clamp-Universum zu verbinden.
common_voice_de_25643099.mp3	Sie ist eine agile, gute Schwimmerin.
common_voice_de_19059081.mp3	Unter der Plane wächst nichts.
common_voice_de_35003271.mp3	Zusätzlich wird noch zwischen Messgrößen und Messmethoden unterschieden.
common_voice_de_19505421.mp3	Messe in der Kapelle an allen Festtagen gestattet.
common_voice_de_22199440.mp3	drei
common_voice_de_32264033.mp3	Mehrfach war er auch als Jurymitglied für verschiedene internationale Wettbewerbe gefragt.
common_voice_de_20043474.mp3	Nach zwei Auftritten als Gastdarsteller in der Sitcom Wer ist hier der Boss?
common_voice_de_39977767.mp3	Und Mozilla sprach: "Es werde Licht"
common_voice_de_25170310.mp3	Leider ist der Rat hier nicht mehr vertreten.
common_voice_de_19124483.mp3	Das Land musste neu aufgebaut werden und brauchte gebildete junge Menschen.
common_voice_de_18226602.mp3	Ach du Schreck!
common_voice_de_18216712.mp3	Hilf mir mal.
common_voice_de_18226509.mp3	Der Strahl wird in kleinste Partikel zerstäubt.
common_voice_de_19152628.mp3	Vor der Kirche befindet sich ein Taufstein, in den Menschendarstellungen und Symbole eingearbeitet sind.
common_voice_de_39569627.mp3	Eine entsprechende Satzung besteht beispielsweise in Lüneburg.
common_voice_de_26040422.mp3	Die Frau von Justice, Wilhelmina, wird in den Filmen oft erwähnt, aber nie gezeigt.
common_voice_de_19618761.mp3	Ein altes Backhaus ist auch heute noch in Betrieb und Mittelpunkt des Ortsteiles.
common_voice_de_17812774.mp3	Die Sache hat allerdings einen Haken.
common_voice_de_26940091.mp3	Louise d’Aumont entstammte einer der reichsten Familien Frankreichs.
common_voice_de_18202644.mp3	Wie lange ist der letzte Ölwechsel her?
common_voice_de_18201555.mp3	Keine Ahnung.
common_voice_de_25342521.mp3	Auch die am Platz liegende Kindertagesstätte trägt den Namen der beiden Kinder.
common_voice_de_26146307.mp3	Zwei Softball-Spieler versuchen, einen Ball zu fangen.
common_voice_de_18213814.mp3	Abflussrohre sollte man verschließen, damit der Geruch der Kanalisation nicht in die Wohnung steigt.
common_voice_de_18593971.mp3	Ja gut, da kann man nichts machen!
common_voice_de_27295087.mp3	Eine Nebenstelle des Rathauses ist in "Cavaliere" eingerichtet.
common_voice_de_19597585.mp3	Bei Siebmacher ist der Wappenschild waagrecht geteilt in Silber und Schwarz.
common_voice_de_18781285.mp3	Das Attentat war stümperhaft geplant.
common_voice_de_22011542.mp3	vier
common_voice_de_27131026.mp3	Er ist Mitglied des Landesvorstands im "Team Stronach für Steiermark".
common_voice_de_19669138.mp3	Sie wurde nach Plänen des Architekten Paul Hoppe errichtet.
common_voice_de_23605434.mp3	Diese Körper werden als ein Bauteil montiert 'Phase-Plug' genannt.
common_voice_de_19682423.mp3	Rang im Norden.
common_voice_de_19140417.mp3	Dabei durfte die historische Fassade nicht beschädigt werden.
common_voice_de_36442881.mp3	Dadurch konnte die Beanspruchung und Verformung der Pfeiler minimiert werden.
common_voice_de_17334370.mp3	Haben wir noch genügend Rohstoffe?
common_voice_de_19955213.mp3	Der Empfänger erhält also ein möglicherweise verändertes Wort.
common_voice_de_20463161.mp3	Das Fachwissen sollte in Westeuropa nicht mehr interessant sein.
common_voice_de_27062278.mp3	Bezug auf diesen Text nimmt beispielsweise der stadtplanerische Entwurf von Karlsruhe.
common_voice_de_19588101.mp3	Daher verpasste er den Saisonauftakt und kehrte erst Ende März zurück ins Training.
common_voice_de_28858553.mp3	Ich möchte ferner hinzufügen, dass unsere Hersteller in diesem Bereich Weltspitze sind.
common_voice_de_27045015.mp3	Da muss ein rasches Vorgehen geplant werden!
common_voice_de_20178444.mp3	Er entthronte seinen Halbbruder und setzte ihn gefangen; anschließend ermordete er Peter eigenhändig.
common_voice_de_28358944.mp3	Gründer und Geschäftsführer ist Paul Grau.
common_voice_de_23944072.mp3	Zum zweiten möchte ich einige Worte an die Kommission richten.
common_voice_de_18159749.mp3	Herr Rahn hat gekräuseltes Haar.
common_voice_de_21948401.mp3	neun
common_voice_de_17818036.mp3	In den Umkleiden gibt es Spinde.
common_voice_de_27928870.mp3	Auf Vereinsebene gewann er drei deutsche Meistertitel.
common_voice_de_24954640.mp3	Klasse aus einem Spiel zwischen diesen beiden Klubs bestand.
common_voice_de_28479484.mp3	Hauptaugenmerk lag zunächst auf der Schaffung von effizienteren Produktionsbedingungen.
common_voice_de_30593415.mp3	Der schmale Anbau im Westen hatte ein Giebeldach.
common_voice_de_18197872.mp3	Hast du dein Ticket nach Görlitz schon gebucht?
common_voice_de_18207208.mp3	Da wird Rebecca sich aber freuen!
common_voice_de_28471052.mp3	Es entstand dadurch das Gefühl, dass die Gerechtigkeit niemals siegen könne.
common_voice_de_40117062.mp3	Er erhielt verschiedene öffentliche Aufträge für Wandmalereien.
common_voice_de_36513567.mp3	Die Qualifikation zu dieser Endrunde verlief für Kroatien eher mäßig.
common_voice_de_17448293.mp3	In Kontakt mit anderen Menschen zu bleiben, senkt das Risiko, an Demenz zu erkranken.
common_voice_de_28866374.mp3	So entschloss er sich nach einer Auseinandersetzung mit einem Vorgesetzten, aus dem Militärdienst auszuscheiden.
common_voice_de_19119254.mp3	Er wurde Mitglied des Heilbronner Künstlerbundes und malte gemeinsam mit Wilhelm Schäffer.
common_voice_de_24735026.mp3	Zugleich werden von der Steuerung automatisch, und der Fahrweise angepasst, Gas und Kupplung bedient.
common_voice_de_17929222.mp3	Die junge Polizistin machte den Eindruck, als müsste sie sich vor ihren älteren Kollegen erst noch beweisen.
common_voice_de_32436917.mp3	Ihr drohte lebenslange Haft.
common_voice_de_17815886.mp3	Du benutzt ständig irgendwelche Redewendungen, die ich nicht kenne.
common_voice_de_17526181.mp3	Noch im Bademantel schlurfte er zum Kühlschrank und griff sich einen Jogurt.
common_voice_de_37901112.mp3	Hjorth hatte zuvor eine Lehre bei dem Töpfermeister Edv.
common_voice_de_18637308.mp3	Das kann man auch einfach mit einem scharfen Messer machen.
common_voice_de_19649452.mp3	Die Partei war damit zwar gerettet, doch wurde die Parteiführung anschließend verhaftet.
common_voice_de_19948105.mp3	Er erkrankte zudem an Kinderlähmung.
common_voice_de_18205535.mp3	Dieser Anblick zog zahlreiche Neugierige an.
common_voice_de_22760470.mp3	In diesen drei Action-Filmen werden Themen des modernen organisierten Verbrechens behandelt.
common_voice_de_28508765.mp3	Fördern bedeutet natürlich auch immer eine gewisse finanzielle Unterstützung.
common_voice_de_30464284.mp3	Was hat sich darüber hinaus verändert?
common_voice_de_33918170.mp3	Karim eröffnet.
common_voice_de_19298932.mp3	Der Entwurf verfehlte dennoch die notwendige Zweidrittelmehrheit.
common_voice_de_37973581.mp3	Fünfmal fuhr er auf den zweiten Platz, viermal auf den dritten Platz.
common_voice_de_37384982.mp3	Die Gattung "Zanthoxylum" ist pantropisch bis subtropisch.
common_voice_de_19740814.mp3	Die internationale Politik vermochte erst in der Weimarer Republik kleine Zugeständnisse aushandeln.
common_voice_de_18436715.mp3	So viel Tiefgründigkeit traue ich denen nicht zu.
common_voice_de_25070594.mp3	Noch im Jahrzehnt seines Todesjahres entstanden zwei hagiographische Lebensbeschreibungen Bardos.
common_voice_de_21902078.mp3	nan
common_voice_de_27040744.mp3	Aufgrund der zerklüfteten Küstenlinien Rügens waren die Umwege sonst erheblich.
common_voice_de_28495329.mp3	Über beide Kanäle steigt dadurch ein Teil der Schmelze bis in das Gefäß auf.
common_voice_de_28781987.mp3	Die Linie wurde später von der Union Pacific Railroad übernommen.
common_voice_de_25268022.mp3	Dazu gehören ein Wetterdienst sowie Informationen zum Seegang und zum Schiffsverkehr in engen Passagen.
common_voice_de_20985543.mp3	Der Burgstall wird im Westen durch den Steilhang geschützt.
common_voice_de_36524677.mp3	Schiedsrichter war Johannes Hoffmann.
common_voice_de_23682343.mp3	Die Lösungen können nur dann eine Wirkung erzielen, wenn sie miteinander verknüpft werden.
common_voice_de_17834515.mp3	Mir ist der Appetit vergangen.
common_voice_de_32520278.mp3	Nach nur ein paar gespielten Partien zog sich die Mannschaft aber vom Spielbetrieb zurück.
common_voice_de_18209536.mp3	Ein Wal ist gestrandet.
common_voice_de_27058475.mp3	Die Strichfarbe ist weiß.
common_voice_de_30349048.mp3	Soweit zu dieser Sache!
common_voice_de_17505848.mp3	Es ist bedauerlich, wie viele Kinder beim Laternenumzug nur noch LED-Laternen tragen dürfen.
common_voice_de_25683389.mp3	Dort existiert ein Vulkan, der Kahlberg, der kurz vor dem Ausbruch steht.
common_voice_de_18208631.mp3	Die Reaktion von weißem Phosphor mit Sauerstoff ist stark exotherm.
common_voice_de_24468629.mp3	Drittens, die wichtige Frage der Einwanderung.
common_voice_de_25341105.mp3	Dieses Abkommen tritt mit seiner Unterschrift in Kraft.
common_voice_de_17385186.mp3	Leonie und Paul streiten sich darum, wer als erstes auf das Schaukelpferd darf.
common_voice_de_17328166.mp3	Wäre das eine geeignete Kodierung oder eher nicht?
common_voice_de_37396455.mp3	Das Gebäude ist für Besucher nicht zugänglich.
common_voice_de_27045066.mp3	Ich bin sehr gespannt.
common_voice_de_25167412.mp3	Dies waren schwierige Jahren mit zahlreichen Herausforderungen.
common_voice_de_27042160.mp3	Ich denke, die maltesische Bevölkerung sollte selbst entscheiden, ob Malta beitreten will oder nicht.
common_voice_de_36415638.mp3	Er fließt in südöstlicher Richtung.
common_voice_de_38356033.mp3	Ebenso sind Aktivitäten bezüglich der Qualitätssicherung erforderlich.
common_voice_de_27129971.mp3	So gesehen, kann er nur unausgereift sein.
common_voice_de_19128944.mp3	Im Personenverkehr diente die Strecke vornehmlich lokalen Interessen.
common_voice_de_18139045.mp3	Anna, weißt du wo Charlotte ist?
common_voice_de_23931307.mp3	ja
common_voice_de_22181263.mp3	sechs
common_voice_de_28134150.mp3	In Österreich ist ebenfalls die U-Schreibung üblich.
common_voice_de_17762173.mp3	Haben wir noch Nudeln?
common_voice_de_23781615.mp3	Der ebenfalls abgebildete Ochse soll auf die Gründungslegende der Kapelle Bezug nehmen.
common_voice_de_24734332.mp3	Aber wie?
common_voice_de_17655021.mp3	Die Stadt Aachen verteilt bereits vorsorglich Jodtabletten.
common_voice_de_21113762.mp3	Alle Mitgliedstaaten profitieren direkt oder indirekt.
common_voice_de_19163435.mp3	Der Pfarrhof war von da an von Weltgeistlichen bewohnt.
common_voice_de_18016742.mp3	Konstantinopel war die Hauptstadt des Byzantinischen Reichs.
common_voice_de_18207647.mp3	Sie muss Folge leisten.
common_voice_de_35554514.mp3	Sie gehört der Verbandsgemeinde Südeifel an und liegt am Naturschutzgebiet Ourschleife-Falkenstein.
common_voice_de_25918335.mp3	Der Ladenbesitzer ist überrascht und verärgert und bringt diese Gefühle zum Ausdruck, indem er „Hey!“ sagt.
common_voice_de_19096527.mp3	Ab jetzt noch achtundvierzig Stunden.
common_voice_de_25140778.mp3	Daran sollten wir uns auch heute immer wieder erinnern.
common_voice_de_20246367.mp3	Das beinhaltet Dinge wie Essen, Schreiben, Zähne-Putzen, Rasieren, Kämmen und Sich-Waschen.
common_voice_de_19754865.mp3	Diese Aneignung vollzieht sich vielfach auf der Grundlage eingeführter esoterischer Vorstellungen.
common_voice_de_18373650.mp3	Die größten Städte Englands sind London, Birmingham und Manchester.
common_voice_de_27044229.mp3	Ursprünglich war der Ort nur eine Alm und nur im Sommer bewohnt.
common_voice_de_35209727.mp3	Die Brustflossen sind farblos und transparent.
common_voice_de_35219226.mp3	In dieser Zeit nahm er viele Gelegenheitsarbeiten an.
common_voice_de_28769967.mp3	Die Küche der Stadt Livorno bietet vor allem Fischgerichte.
common_voice_de_27049262.mp3	Anschließend wechselte er in die Werkstatt Cranachs nach Mechelen.
common_voice_de_19121846.mp3	Gorki gab dem angehenden Schriftsteller den Rat, sich mehr Lebenserfahrung zu verschaffen.
common_voice_de_18338605.mp3	Wie blöd muss man sein?
common_voice_de_37508709.mp3	Ein Merkmal des Filmes ist, dass keiner der Charaktere beim Namen genannt wird.
common_voice_de_38211356.mp3	Ich werde Ihnen das sofort beweisen.
common_voice_de_17782529.mp3	Hast du noch eine Ersatzpatrone?
common_voice_de_36953384.mp3	Der einzige Unterschied ist die Dicke der Bauform.
common_voice_de_19665077.mp3	Die unabhängige Jury kann sich dabei auch gegen die Vergabe eines Prädikats entscheiden.
common_voice_de_25373689.mp3	Vielleicht nimmt ja ein netter Nachbar mein Paket entgegen.
common_voice_de_34263565.mp3	Von da an gehörte sie regelmäßig zum Aufgebot der Nationalmannschaft.
common_voice_de_27106771.mp3	Dafür benötigen sie eine längere Zeit bis zur Sättigung.
common_voice_de_18193967.mp3	Das Lied hat sie so sehr berührt, dass sie weinen musste.
common_voice_de_39012030.mp3	Dessen Fundamente sind ebenfalls noch im Boden unter dem heutigen Chor erhalten.
common_voice_de_23712375.mp3	Seine ersten vier Lebensjahre verbrachte er in seinem Geburtsort.
common_voice_de_19363341.mp3	Außerdem gibt es ein Röhrenwerk und Betriebe der Bauwirtschaft.
common_voice_de_25648040.mp3	Die Romane erschienen im Kelter Verlag.
common_voice_de_27044311.mp3	Er ist verheiratet und hat fünf Kinder.
common_voice_de_18906709.mp3	Kettenbriefe leite ich aus Prinzip nicht weiter.
common_voice_de_20743325.mp3	Plaaz besitzt einen Bahnhof an den Bahnstrecken Rostock–Neustrelitz und Plaaz–Güstrow.
common_voice_de_28408785.mp3	Des Deutschen Volkes Edelstein.
common_voice_de_27046473.mp3	Das war im September letzten Jahres.
common_voice_de_26488712.mp3	Diệm konnte zunächst fliehen, wurde jedoch von Suchtrupps aufgegriffen und ermordet.
common_voice_de_20020322.mp3	Die Lehren des esoterischen Christentums und die Philosophie werden durch Fernkurse verbreitet.
common_voice_de_26304098.mp3	Damit war der Krieg in Europa beendet.
common_voice_de_39999681.mp3	Ein Wasserturm ist nicht mehr notwendig, um den Druck konstant zu halten.
common_voice_de_20176639.mp3	Güngör ist verheiratet, hat ein Kind und wohnt in Bremen-Osterholz.
common_voice_de_19988358.mp3	Johann Carl entstammte der österreichischen Adelsfamilie Khevenhüller.
common_voice_de_20020469.mp3	Überdeutlich wird dies bei jeder Form von Gewalt in der Pflege.
common_voice_de_22746852.mp3	Gewerkschaften und Sozialdemokraten riefen erfolgreich zu großen Demonstrationen auf.
common_voice_de_27094933.mp3	In geübter Hand sind die Risiken gering.
common_voice_de_38580755.mp3	Außerdem wurde das Armaturenbrett komplett neu gestaltet.
common_voice_de_19634207.mp3	In Deutschland ist seine Verbreitung auf die Nordhälfte beschränkt.
common_voice_de_18198164.mp3	Was nicht passt, wird passend gemacht.
common_voice_de_25369756.mp3	Wegen Verstoßes gegen die Lizenzauflagen wurden dem Verein vier Punkte abgezogen.
common_voice_de_27172235.mp3	Als Produzent
common_voice_de_18688036.mp3	Deswegen ballert es mehr.
common_voice_de_27734159.mp3	Dies ist grundsätzlich zu begrüßen.
common_voice_de_27750466.mp3	Die einzigartige Unterwasserwelt macht die Insel zu einem beliebten Ziel für Taucher.
common_voice_de_24681016.mp3	In der Bevölkerung wurde es gut angenommen.
common_voice_de_27532084.mp3	Die aristokratische Regierung musste dem Druck nachgeben und zurücktreten.
common_voice_de_28569452.mp3	Ihr älterer Sohn, Jan Kiepura jun.
common_voice_de_17756126.mp3	Conakry ist die Hauptstadt von Guinea.
common_voice_de_18203411.mp3	Es sind kaum Gebrauchsspuren zu erkennen.
common_voice_de_27046096.mp3	Wie wollt Ihr die Leute überzeugen, wenn Ihr selbst so unüberzeugt klingt?
common_voice_de_17939093.mp3	Papperlapapp!, widersprach Elke.
common_voice_de_23965328.mp3	Er war Ersatzmann für weitere Sojus-Missionen.
common_voice_de_20204367.mp3	Da Mykoplasmen keine Zellwand haben, können sie nur auf speziellen Nährböden angezüchtet werden.
common_voice_de_18333343.mp3	Linda führt ein Doppelleben.
common_voice_de_18199695.mp3	Wie pumpt ein Baum das Wasser aus dem Boden in die Blätter?
common_voice_de_17671043.mp3	Alles anzeigen.
common_voice_de_37027333.mp3	Nach dem überlebten Selbstmordversuch arbeitete er daran weiter.
common_voice_de_24160710.mp3	Er starb wenige Wochen später.
common_voice_de_20293252.mp3	Besonders berüchtigt für seine pyroklastischen Ströme ist der Unzen in Japan.
common_voice_de_27041239.mp3	Die letzten Monate seiner Amtszeit waren von der Weltwirtschaftskrise überschattet.
common_voice_de_18202374.mp3	Das neue Anti-Terror-Gesetz ist doch nur eine weitere Beschneidung unserer Grundrechte.
common_voice_de_20901180.mp3	Zudem forschte er über die Stadtgeschichte von Warburg.
common_voice_de_17801230.mp3	Der Fluss markiert die Grenze.
common_voice_de_19717373.mp3	Der oft minderwertige Schnaps wurde in das angrenzende hessische Gebiet eingeschmuggelt.
common_voice_de_29271362.mp3	Allein die Unterstützung der Völker stärkt es in seinem Ringen.
common_voice_de_19031039.mp3	An dieser Stelle lichtet sich der Wald etwas.
common_voice_de_28781015.mp3	Das Kaliwerk Zielitz ist das größte Kalibergwerk Deutschlands und eines der größten weltweit.
common_voice_de_19602118.mp3	Minute für Jörgen Pettersson eingewechselt.
common_voice_de_19643345.mp3	Zwei Täfelchen aus getriebenem Silber zeigen ihn als Krieger mit Schild und Speer.
common_voice_de_34971902.mp3	Beide Blattflächen sind unbehaart bis spärlich oder dicht seidig behaart.
common_voice_de_18522883.mp3	Wieso, das ist doch prima!
common_voice_de_27020335.mp3	Zuletzt betätigte er sich auch als politischer und Romanautor.
common_voice_de_27041556.mp3	Deswegen haben wir Schutzvorkehrungen für jeden Fall getroffen.
common_voice_de_27018138.mp3	Gegenwärtig werden Richtlinien ausgearbeitet.
common_voice_de_30582624.mp3	Als Gastgeber ist Frankreich bereits qualifiziert.
common_voice_de_33346048.mp3	Glenn Ong erlernte das Fußballspielen in der "Singapore Sports School".
common_voice_de_28187144.mp3	Die Anlage ist in Privatbesitz und ständig bewohnt.
common_voice_de_18194386.mp3	Schildern Sie das Vorgehen noch mal in eigenen Worten.
common_voice_de_19636225.mp3	Zum Transport von Holz und anderen Gütern konnten die Leitern abgenommen werden.
common_voice_de_39610881.mp3	Die Fähre wurde für Stena Line gebaut.
common_voice_de_27074517.mp3	Anders als sein Name vermuten lässt, lebt der Käfer hauptsächlich an Eichen.
common_voice_de_21543642.mp3	Dennoch gibt es viele Gründe, die diesen Optimismus rechtfertigen.
common_voice_de_24812549.mp3	Sie galt als politischer Gegner der Great Alliance.
common_voice_de_18385819.mp3	Kurz nachdem die Räuber die Bank verlassen hatten, wurde die Polizei verständigt.
common_voice_de_20248386.mp3	Hier steht das Konzept Cassirers der Theorie Adornos entgegen.
common_voice_de_24674871.mp3	Hier liegt ein schwerwiegender Vorgang zugrunde, ein schwerwiegender politischer Fehler.
common_voice_de_19493149.mp3	Angebaut werden insbesondere Zierpflanzen, Kartoffeln und Erdbeeren.
common_voice_de_18254930.mp3	Alwin, Nadja und Andrea spielen Verstecken.
common_voice_de_27041482.mp3	Kennst du die Geschichte hinter diesem Song?
common_voice_de_18207288.mp3	Geht das nicht auch ohne die schwarzen Balken?
common_voice_de_19154961.mp3	Der gutaussehende und begabte Soldat ist bei seinen Kameraden wie auch den Vorgesetzten beliebt.
common_voice_de_28750549.mp3	Die Augen liegen nicht seitlich, sondern nahezu auf der Oberseite der Larven.
common_voice_de_25206976.mp3	Auch die Villages-Lagen sind sehr gut gemachte Weine.
common_voice_de_25134836.mp3	Das geht nicht an.
common_voice_de_20467648.mp3	Schon in Angola spielte Rafael Fußball.
common_voice_de_18451222.mp3	Die Thermoplaste werden erhitzt, in ihre Form gebracht und wieder abgekühlt.
common_voice_de_35770272.mp3	Neben der akademischen Karriere verfolgte Beck eine Laufbahn als Politiker der Demokratischen Partei.
common_voice_de_39577579.mp3	Gerade bei höheren Wasserständen konnte das entscheidend sein.
common_voice_de_27199287.mp3	Gegensatz ist die Rückversicherung.
common_voice_de_18771640.mp3	Versionsnummern sagen heutzutage nichts mehr aus.
common_voice_de_19006676.mp3	Stagnierende Umsätze sind das Resultat.
common_voice_de_19206148.mp3	Zugleich wurde der alte Name "Latina" wieder angenommen.
